STATE,NAME,CENSUSAREA,Longitude,Latitude,Hospital Count,Bed Count,FIPS_plotly,POPESTIMATE2018,Median_Household_Income_2018
IL,Putnam,160.161,41.20135409943136,-89.28692719747185,,,17155,5740.0,66319.0
IL,Schuyler,437.273,40.157352342115395,-90.61718498380576,1.0,46.0,17169,6907.0,52018.0
IL,Stark,288.079,41.09269724261822,-89.79714053085644,,,17175,5427.0,52651.0
IL,Tazewell,648.974,40.507537771394304,-89.51243204292015,2.0,150.0,17179,132328.0,61508.0
IL,Washington,562.572,38.35283273889186,-89.40986774301595,1.0,0.0,17189,13995.0,66937.0
IL,Woodford,527.799,40.792272810387644,-89.2148653486861,1.0,18.0,17203,38463.0,72247.0
IN,Blackford,165.08,40.47362941953265,-85.32478442093036,1.0,15.0,18009,11930.0,45161.0
IN,Boone,422.913,40.050884873386046,-86.46836811180161,1.0,52.0,18011,66999.0,85876.0
IN,Clay,357.542,39.39553493583851,-87.1172365263311,1.0,25.0,18021,26170.0,52699.0
IN,DeKalb,362.824,41.39798308213844,-84.99894859412807,2.0,72.0,18033,43226.0,58987.0
GA,Glascock,143.74,33.23894774289142,-82.60654365839991,,,13125,2995.0,42820.0
GA,Gordon,355.808,34.50833040796824,-84.87140226047435,1.0,80.0,13129,57685.0,49101.0
GA,Grady,454.527,30.874795232145466,-84.23424677367399,1.0,60.0,13131,24748.0,41002.0
GA,Hall,392.782,34.318198457051025,-83.81622721026437,1.0,557.0,13139,202148.0,61631.0
GA,Jackson,339.663,34.1354098133277,-83.56825444507544,1.0,257.0,13157,70422.0,68984.0
GA,Jones,393.933,33.02338690787025,-83.56040570792814,,,13169,28616.0,55737.0
GA,Laurens,807.296,32.46563437681084,-82.92068148356728,2.0,368.0,13175,47325.0,42114.0
GA,Lumpkin,282.933,34.570584113002205,-84.00270482722755,1.0,49.0,13187,32955.0,55583.0
GA,Marion,366.003,32.354373411890656,-84.52827170144762,,,13197,8351.0,39114.0
GA,Miller,282.421,31.164991258302432,-84.73079700891685,1.0,25.0,13201,5686.0,42483.0
GA,Newton,272.161,33.5570223976768,-83.85127556918168,1.0,97.0,13217,109541.0,56598.0
GA,Peach,150.267,32.57316463520731,-83.82463950799075,1.0,25.0,13225,27297.0,46525.0
GA,Polk,310.331,34.00394744464617,-85.18442251712011,1.0,53.0,13233,42470.0,43679.0
GA,Randolph,428.236,31.761059362953695,-84.75532313443736,1.0,25.0,13243,6833.0,28298.0
GA,Seminole,235.226,30.940524123253542,-84.86556969305236,1.0,65.0,13253,8315.0,36869.0
GA,Taliaferro,194.608,33.567631834552664,-82.87876826077262,,,13265,1608.0,34090.0
GA,Tift,258.915,31.4582105026452,-83.52534791647693,1.0,191.0,13277,40571.0,45680.0
GA,Troup,413.988,33.033020966112886,-85.02971130780388,1.0,276.0,13285,70034.0,45234.0
GA,Upson,323.437,32.87946977742724,-84.30143085328567,1.0,115.0,13293,26215.0,40965.0
GA,Washington,678.452,32.97164283405646,-82.7937095491285,1.0,116.0,13303,20386.0,39444.0
KS,Clay,645.301,39.34944765310266,-97.16512523186383,1.0,25.0,20027,7997.0,52681.0
KS,Cloud,715.342,39.480302324889,-97.64917909739613,1.0,25.0,20029,8729.0,44467.0
KS,Decatur,893.517,39.78466091597175,-100.4595091852984,1.0,61.0,20039,2871.0,44774.0
KS,Elk,644.265,37.453397977867084,-96.24375868593738,,,20049,2508.0,37360.0
KS,Graham,898.522,39.3498659673852,-99.88334615186346,1.0,25.0,20065,2492.0,41906.0
KS,Hamilton,996.508,37.999719336523185,-101.79222107504253,1.0,69.0,20075,2607.0,51559.0
KS,Jackson,656.217,39.416746485425335,-95.79376091664247,1.0,12.0,20085,13280.0,56330.0
KS,Kingman,863.363,37.55909478412649,-98.13638537695432,1.0,25.0,20095,7310.0,56005.0
KS,Lincoln,719.396,39.04547484630834,-98.20749244074035,1.0,14.0,20105,3023.0,44439.0
KS,Marion,944.29,38.358184796027274,-97.09632931039417,2.0,52.0,20115,11950.0,51712.0
KS,Morris,695.279,38.688934803344125,-96.64897428260386,1.0,25.0,20127,5521.0,49287.0
KS,Ness,1074.75,38.479741568387965,-99.91547332663337,3.0,109.0,20135,2840.0,51757.0
KS,Pawnee,754.263,38.18115215031488,-99.23684980468923,2.0,638.0,20145,6562.0,47039.0
KS,Reno,1255.346,37.953653429206405,-98.08619326304851,2.0,223.0,20155,62342.0,49341.0
KS,Rooks,890.533,39.35022524652204,-99.32486810553713,1.0,20.0,20163,5013.0,47365.0
KS,Sedgwick,997.512,37.68427180153119,-97.46081980203216,13.0,1140.0,20173,513607.0,56381.0
KS,Stafford,792.046,38.03071552744277,-98.71800611027678,1.0,25.0,20185,4178.0,47835.0
KS,Trego,889.478,38.914672574634025,-99.87284397748017,1.0,62.0,20195,2793.0,48520.0
KS,Wichita,718.568,38.48178216130416,-101.34715128865119,1.0,37.0,20203,2105.0,59800.0
KS,Wilson,570.418,37.559371741236205,-95.74323255429685,2.0,49.0,20205,8665.0,45697.0
KY,Ohio,587.274,37.481509564099014,-86.8435628952562,1.0,25.0,21183,24087.0,44751.0
KY,Owen,351.103,38.520921770780376,-84.82746381668697,1.0,25.0,21187,10880.0,48998.0
KY,Owsley,197.407,37.42556349733932,-83.6836478939036,,,21189,4472.0,26278.0
KY,Pulaski,658.408,37.1038023308608,-84.57907025532627,1.0,295.0,21199,64623.0,41541.0
KY,Scott,281.766,38.29056156570173,-84.58608167252181,1.0,75.0,21209,56031.0,73500.0
KY,Todd,374.496,36.83755478626456,-87.17872905820232,,,21219,12311.0,51027.0
KY,Washington,297.266,37.75391561353014,-85.17680878549068,,,21229,12084.0,50246.0
LA,Acadia,655.119,30.297393861308993,-92.41117873992194,4.0,41.0,22001,62190.0,40484.0
LA,Bienville,811.268,32.34566161005886,-93.05031387699967,1.0,21.0,22013,13308.0,34047.0
LA,East Baton Rouge,455.374,30.53205905450997,-91.09595887164215,20.0,2055.0,22033,440956.0,52945.0
LA,Jefferson Davis,651.328,30.266509500029734,-92.81284482069519,4.0,96.0,22053,31582.0,44492.0
LA,Ouachita,610.406,32.48347295815539,-92.15316415343158,11.0,679.0,22073,154475.0,44371.0
LA,Pointe Coupee,557.346,30.706731056556205,-91.6049014698559,1.0,25.0,22077,21940.0,46603.0
LA,St. Charles,279.083,29.913849427357388,-90.35898759664215,1.0,59.0,22089,52879.0,67585.0
LA,Tangipahoa,791.275,30.64105909907854,-90.4074754037156,9.0,404.0,22105,133777.0,47128.0
LA,Vernon,1327.91,31.108452252389384,-93.18084918492045,5.0,119.0,22115,48860.0,47664.0
KY,Allen,344.338,36.74843133673846,-86.19352951930011,1.0,25.0,21003,21122.0,44624.0
KY,Barren,487.541,36.96546220702265,-85.92924068618736,1.0,180.0,21009,44176.0,42439.0
KY,Bourbon,289.719,38.20417211282891,-84.22534654923845,1.0,58.0,21017,20184.0,48614.0
KY,Breathitt,492.413,37.523028903587175,-83.33170536577413,1.0,55.0,21025,12726.0,31182.0
KY,Butler,426.088,37.20974256304078,-86.68147947570793,,,21031,12772.0,43048.0
KY,Carter,409.496,38.31860566671435,-83.05276378026778,,,21043,27004.0,32906.0
KY,Clinton,197.246,36.72111786345463,-85.128331763145,1.0,42.0,21053,10206.0,31118.0
KY,Elliott,234.315,38.11869337010684,-83.09529376514064,,,21063,7508.0,35446.0
KY,Gallatin,101.234,38.75340073065437,-84.85793294252151,,,21077,8832.0,49060.0
KY,Green,286.034,37.26161673480646,-85.55287490380813,1.0,35.0,21087,11049.0,36782.0
KY,Hart,412.086,37.300077324830454,-85.8860301003842,1.0,25.0,21099,18906.0,37038.0
KY,Henry,286.276,38.44874948108938,-85.11604793952178,,,21103,16106.0,53405.0
KY,Johnson,261.953,37.84889568953243,-82.8346569055932,1.0,72.0,21115,22386.0,39381.0
KY,Knox,386.297,36.88819722772831,-83.85400812857824,1.0,25.0,21121,31304.0,30742.0
KY,Lincoln,334.095,37.458090084077234,-84.65668285409079,1.0,25.0,21137,24644.0,42190.0
KY,Lyon,213.84,37.02346216663971,-88.08295358192319,,,21143,8009.0,48395.0
KY,Madison,437.293,37.71450926545657,-84.27134487247834,2.0,130.0,21151,92368.0,51897.0
KY,Marshall,301.253,36.87953080969636,-88.33083983066766,1.0,25.0,21157,31191.0,52388.0
KY,Metcalfe,289.645,36.98825272075444,-85.62412889325354,,,21169,10030.0,35906.0
